YEAR,MO,DY,TS,QV2M,PS,T2M_RANGE,T2M_MIN,T2M_MAX,WS10M_RANGE
2013,6,4,19.6,7.02,97.19,16.88,9.5,26.37,4.66
2013,6,5,20.37,8.67,97.03,16.1,11.24,27.33,3.73
2013,6,6,19.13,9.4,97.23,10.3,14.39,24.69,3.94
2013,6,7,20.1,8.54,97.18,10.62,14.82,25.44,6.51
2013,6,8,17.4,7.32,96.94,8.58,12.07,20.65,4.47
2013,6,9,15.97,7.93,96.8,8.37,11.4,19.77,7.64
2013,6,10,19.63,8.61,97.26,13.19,12.1,25.29,5.79
2013,6,11,22.55,9.34,97.46,14.1,14.38,28.48,3.2
2013,6,12,25.69,10.62,97.62,15.64,16.14,31.78,3.02
2013,6,13,24.8,11.35,97.46,14.7,16.4,31.11,6.3
2013,6,14,25.6,10.62,97.28,19.66,14.39,34.05,4.54
2013,6,15,25.03,10.86,97.29,15.06,16.12,31.18,3.18
2013,6,16,26.8,9.34,96.89,20.39,15.76,36.16,4.75
2013,6,17,23.58,10.31,96.57,14.74,16.29,31.03,4.41
2013,6,18,18.43,10.07,96.74,12.02,10.04,22.06,7.84
2013,6,19,16.33,6.96,97.14,10.88,9.43,20.3,4.91
2013,6,20,19.3,7.69,97.4,12.86,11.16,24.02,2.84
2013,6,21,18.08,8.79,97.59,10.24,11.97,22.21,4.88
2013,6,22,20.58,8.36,97.78,15.84,10.84,26.69,3.27
2013,6,23,18.14,7.57,97.97,12.15,10.22,22.37,6.07
2013,6,24,17.21,6.29,98.08,14.84,8.58,23.41,2.27
2013,6,25,19.11,7.02,98.01,18.2,8.59,26.79,4.5
2013,6,26,20.7,7.2,98.03,16.43,10.53,26.96,4.36
2013,6,27,20.51,7.51,97.97,16.16,11.04,27.2,5.42
2013,6,28,20.56,7.63,98.03,15.12,11.83,26.95,3.81
2013,6,29,21.92,8.24,98.1,17.45,11.76,29.22,3.45
2013,6,30,24.01,9.28,97.71,17.88,13.11,30.98,6.87
2013,7,1,26.15,10.62,97.29,16.28,15.75,32.03,4.72
2013,7,2,25.73,10.68,97.24,15.84,15.9,31.73,2.96
2013,7,3,24.98,11.54,97.56,12.44,17.47,29.91,6.34
2013,7,4,25.48,10.01,97.76,16.4,16.13,32.52,6.44
2013,7,5,27.4,10.86,97.92,17.28,16.63,33.91,1.86
2013,7,6,29,11.23,97.85,16.7,18.44,35.13,3.37
2013,7,7,28.51,11.47,97.79,15.57,18.8,34.37,2.91
2013,7,8,28.98,10.99,97.7,15.63,18.81,34.44,5.27
2013,7,9,28.21,10.8,97.42,16.07,18.42,34.48,4.91
2013,7,10,27.82,11.9,97.07,15.66,18.14,33.8,2.59
2013,7,11,26.81,12.94,97.04,9.55,20.94,30.48,2.12
2013,7,12,27.99,11.72,97.18,14.07,20.33,34.4,4.95
2013,7,13,29.08,11.47,97.25,15.45,19.12,34.55,2.77
2013,7,14,26.02,12.45,97.54,10,19.26,29.26,2.71
2013,7,15,27.55,11.29,97.67,13.91,18.52,32.43,2.89
2013,7,16,26.94,12.08,97.64,14.1,18.18,32.28,3.77
2013,7,17,26.61,11.66,97.73,12.61,18.46,31.06,2.81
2013,7,18,26.19,11.47,97.57,12.39,18.56,30.95,4.89
2013,7,19,27.18,12.15,97.29,13.72,18.66,32.38,3.38
2013,7,20,28.2,10.74,97.16,14.5,19.58,34.08,4.82
2013,7,21,28.48,10.31,97.3,16.16,19.13,35.29,4.08
2013,7,22,28.48,10.62,97.31,15.58,18.3,33.88,3.53
2013,7,23,28.68,11.84,97.04,14.07,20.84,34.91,2.38
2013,7,24,28.3,11.84,97.27,14.91,19.19,34.1,2.95
2013,7,25,30.12,10.25,97.05,18.06,20.62,38.68,4.37
2013,7,26,29.48,10.93,96.81,18.61,18.79,37.4,4.4
2013,7,27,29.12,10.07,96.61,15.79,20.56,36.35,6.93
2013,7,28,25.33,7.39,97.04,12.48,18.46,30.95,4.06
2013,7,29,24.18,7.69,97.81,13.48,15.99,29.48,4.95
2013,7,30,26.59,8.97,97.95,16.67,16.25,32.92,2.27
2013,7,31,28.53,8.97,97.48,18.04,18.19,36.23,5.88
2013,8,1,29.39,9.03,97.05,21.93,17.69,39.63,4.23
2013,8,2,30.24,10.38,97.06,21.42,19.39,40.82,5.09
2013,8,3,29.07,11.35,97.38,15.23,20.41,35.64,5.72
2013,8,4,28.54,10.56,97.53,15.14,18.98,34.12,3.74
2013,8,5,29.15,10.19,97.15,18.27,18.39,36.65,2.51
2013,8,6,28.01,9.95,97,17.19,18.68,35.87,6.84
2013,8,7,24.62,10.74,96.89,12.93,17.25,30.18,3.73
2013,8,8,20.93,8.79,97.64,11.66,13.85,25.51,4.92
2013,8,9,22.83,8.97,97.95,15.87,13.62,29.48,2.52
2013,8,10,24.39,8.61,97.79,17.37,14.81,32.18,2.23
2013,8,11,26.58,9.58,97.5,18.48,16,34.48,4.14
2013,8,12,27.94,11.29,97.3,16.6,19.29,35.89,4.52
2013,8,13,25.43,11.84,97.5,9.02,19.72,28.73,3.38
2013,8,14,25.58,9.7,97.55,15.37,16.67,32.04,1.55
2013,8,15,26.89,9.64,97.48,17.84,15.99,33.83,4.3
2013,8,16,26.45,13.85,97.4,11.4,19.78,31.17,2.73
2013,8,17,25.4,11.29,97.47,13.96,16.86,30.82,5.66
2013,8,18,27.44,11.9,97.4,14.44,18.55,32.99,2.95
2013,8,19,26.36,11.66,97.63,14.21,18.02,32.23,7.46
2013,8,20,23.94,7.93,97.82,17.06,14.17,31.23,4.73
2013,8,21,26,8.42,97.51,17.71,15.57,33.28,3.42
2013,8,22,26.98,12.21,97.13,16.03,17.91,33.95,4.72
2013,8,23,27.4,12.15,97.16,14.45,18.55,33.01,2.98
2013,8,24,23.83,9.83,97.33,14.01,15.39,29.39,9.33
2013,8,25,21.12,7.93,97.17,13.24,13.11,26.36,2.95
2013,8,26,22.19,8.54,96.97,12.31,14.66,26.98,1.9
2013,8,27,22.48,8.36,97.19,14.53,13.57,28.1,3.68
2013,8,28,20.26,8.67,97.4,9.34,15.69,25.02,4.55
2013,8,29,22.65,9.09,97.57,12.85,13.9,26.76,4.13
2013,8,30,23.49,8.18,97.67,12.81,16.38,29.19,4.88
2013,8,31,22.23,7.45,97.86,15.86,13.08,28.94,2.16
2013,9,1,23.37,8.48,97.92,16.51,13.78,30.29,3.23
2013,9,2,23.48,7.87,97.95,15.97,14.75,30.73,4.38
2013,9,3,24.38,7.45,97.93,16.85,14.75,31.59,4.12
2013,9,4,23.69,9.22,97.67,16.08,14.6,30.68,4.22
2013,9,5,24.14,9.28,97.17,15.82,14.89,30.71,5.07
2013,9,6,24.9,10.07,96.93,13.88,16.29,30.17,2.73
2013,9,7,20.98,11.23,97.14,10.38,17.12,27.49,2.09
2013,9,8,19.87,9.7,97.69,10.24,14.35,24.58,4.58
2013,9,9,20.15,7.32,98.01,14.35,11.83,26.18,2.33
2013,9,10,21.28,9.09,97.72,12.05,14.58,26.62,1.75
2013,9,11,17.96,6.47,97.75,11.31,11.98,23.29,3.7
2013,9,12,18.26,7.14,97.82,15.2,9.91,25.11,1.48
2013,9,13,20.9,8.67,97.91,15.59,11.94,27.53,3.73
2013,9,14,23.12,8.79,97.5,17.24,13.76,31,3.09
2013,9,15,19.48,7.45,97.39,10.41,13.4,23.81,4.32
2013,9,16,19.54,7.32,97.11,15.85,10.76,26.61,3.55
2013,9,17,18.24,8,97.28,10.47,12.59,23.06,4.34
2013,9,18,19.55,8.61,97.24,13.1,12.17,25.27,3.88
2013,9,19,19.56,8.48,97.33,12.09,13.9,25.99,4.62
2013,9,20,20.66,9.09,97.6,13.2,12.99,26.19,2
2013,9,21,21.74,7.57,97.9,15.52,13.24,28.76,5.6
2013,9,22,22.35,6.96,97.96,17.11,12.95,30.06,3.36
2013,9,23,23.08,9.7,97.6,15.34,15.03,30.37,4.88
2013,9,24,23.87,10.13,97.21,15.4,15.57,30.97,2.57
2013,9,25,25.23,10.01,97.01,16.34,16.31,32.65,4.7
2013,9,26,25.9,9.16,97.02,16.92,17.44,34.37,4.02
2013,9,27,25.83,9.4,96.85,17.04,17.19,34.23,2.82
2013,9,28,23.07,9.4,96.43,11.6,17.35,28.95,4.53
2013,9,29,19.72,8.67,96.43,9.75,15.12,24.86,3.97
2013,9,30,21.3,9.4,96.52,12.64,14.76,27.4,7.19
2013,10,1,24.06,10.44,96.63,13.9,17.9,31.8,4.37
2013,10,2,24.64,10.01,96.77,13.56,17.32,30.88,4.54
2013,10,3,22.28,12.51,97,7.15,19.11,26.26,5.69
2013,10,4,19.71,12.33,97.28,8.56,15.18,23.75,3.78
2013,10,5,18.08,8.3,97.91,10.81,13.05,23.87,2.75
2013,10,6,17.17,7.63,97.95,11.63,11.8,23.43,2.06
2013,10,7,16.3,6.96,97.87,13.06,9.69,22.76,4.09
2013,10,8,16.8,7.51,97.91,12.72,10.46,23.17,2.98
2013,10,9,16.07,7.2,97.79,11.96,10.23,22.19,2.98
2013,10,10,14.74,7.02,97.35,11.66,9.01,20.67,3.34
2013,10,11,11.89,5.13,97.24,10.8,6.3,17.09,2.95
2013,10,12,12.13,5.31,97.47,15.48,4.37,19.84,3.31
2013,10,13,15.05,6.04,97.56,13.86,9.1,22.97,2.58
2013,10,14,16.67,7.63,97.58,13.1,10.29,23.38,3.31
2013,10,15,17.58,8.67,97.45,10.32,13.48,23.8,4.1
2013,10,16,19.57,8.73,97.6,12.49,14.4,26.9,3.37
2013,10,17,20.22,9.16,97.54,14.02,12.77,26.79,4.4
2013,10,18,20.79,8.24,97.06,14.2,15.85,30.05,2.22
2013,10,19,19.07,8.18,97.17,10.01,15.15,25.15,2.8
2013,10,20,18.72,8.85,97.4,10.94,14.07,25.01,3
2013,10,21,17.62,7.51,97.26,14.34,10.9,25.25,3.16
2013,10,22,16.86,9.22,96.76,8.62,13.7,22.32,3.69
2013,10,23,16.76,7.63,97.08,12.2,11.99,24.19,3.92
2013,10,24,18.11,7.57,97.16,14.22,11.93,26.15,3.29
2013,10,25,19.44,10.31,97.07,13.19,14.65,27.84,2.55
2013,10,26,19.39,9.95,97.5,10.91,14.92,25.83,2.95
2013,10,27,16.17,6.84,97.79,12.93,11.44,24.37,4.74
2013,10,28,16.52,6.47,97.32,14.43,11.51,25.94,5.38
2013,10,29,12.56,5.86,97.6,8.71,7.7,16.41,4.8
2013,10,30,10.68,4.88,97.78,11.54,5.77,17.31,2.98
2013,10,31,9.69,4.39,97.94,12.73,4.37,17.1,3.3
2013,11,1,11.03,3.91,97.72,13.23,6.02,19.25,3.45
2013,11,2,15.76,6.77,97.31,14.59,10.05,24.64,3.49
2013,11,3,13.07,6.65,97.45,9.31,8.71,18.02,6.81
2013,11,4,12.73,6.84,96.64,9.41,9.15,18.55,9.55
2013,11,5,17.5,8.97,96.85,10.72,12.23,22.95,6.88
2013,11,6,16.68,8.73,97.49,11.05,12.59,23.64,5.54
2013,11,7,13.77,7.81,97.44,10.9,9.84,20.74,3.86
2013,11,8,12.97,7.02,97.32,12.14,8.14,20.28,3.74
2013,11,9,11.54,5,97.78,10.59,6.44,17.03,2.69
2013,11,10,12.72,6.71,97.96,7.16,9.83,16.99,6.62
2013,11,11,13.76,7.26,98.04,7.05,11.22,18.28,4.22
2013,11,12,14.42,7.69,97.83,9.89,10.59,20.48,3.77
2013,11,13,13.79,7.39,97.8,10.3,9.76,20.06,2.86
2013,11,14,10.34,5.19,98.16,8.47,6.97,15.44,5.31
2013,11,15,7.12,4.21,97.65,8.51,2.48,10.99,6.21
2013,11,16,2.42,4.21,97.51,1.87,1.77,3.65,3.12
2013,11,17,4.52,5.13,97.07,2.53,3.44,5.96,5.02
2013,11,18,6.03,5.68,96.09,5.63,3.13,8.76,4.55
2013,11,19,8.41,5.37,96.54,9.67,4.29,13.96,5.33
2013,11,20,4.19,4.09,97.16,6.2,1.41,7.62,4.5
2013,11,21,5.13,4.27,96.32,7.65,1.97,9.62,5.25
2013,11,22,4.58,3.97,96.49,6.91,1.43,8.33,4.16
2013,11,23,3.62,3.85,96.85,8.41,0.84,9.26,4.03
2013,11,24,4.39,3.78,97.23,9.7,1.47,11.17,2.56
2013,11,25,3.55,3.42,97.81,10.27,0.43,10.69,3
2013,11,26,2.12,2.93,98.08,11.79,-1.6,10.2,4.37
2013,11,27,0.46,2.69,98.05,11.74,-2.98,8.76,6.73
2013,11,28,0.4,2.87,98.48,11.35,-3.6,7.76,5.34
2013,11,29,2.32,3.54,98.27,11.64,-1.92,9.73,2.66
2013,11,30,4.27,4.33,97.47,9,1.09,10.1,5.89
2013,12,1,2.61,3.23,97.59,11.62,-0.85,10.78,3.55
2013,12,2,1.8,3.36,97.79,10.23,-1.57,8.66,4.91
2013,12,3,4.42,3.72,98.31,12.63,0.41,13.05,3.02
2013,12,4,5.87,4.88,98.36,14.02,1.3,15.32,3.59
2013,12,5,6.73,5.13,98.36,9.12,3.56,12.68,2.18
2013,12,6,4.59,3.97,98.28,10.77,1.17,11.94,3.98
2013,12,7,2.89,4.03,98.11,10.47,0.15,10.62,4.63
2013,12,8,1.4,3.72,98.33,7.68,1.31,8.99,2.3
2013,12,9,1.45,4.52,98.64,7.78,0.85,8.62,1.38
2013,12,10,1.71,3.78,98.76,11.48,-1.41,10.07,2.46
2013,12,11,2.82,4.58,98.77,12.12,0.94,13.06,2.88
2013,12,12,2.53,4.15,98.53,12.57,-0.94,11.63,2.92
2013,12,13,3.69,4.33,98.15,13.08,-1.42,11.65,4.27
2013,12,14,6.68,5.43,98.68,9.49,3.69,13.17,4.34
2013,12,15,5.16,4.64,98.82,13.5,1.87,15.37,3.11
2013,12,16,4.5,4.82,98.65,12.13,0.99,13.13,5.59
2013,12,17,5.22,5.37,98.4,7.07,3.26,10.33,2.16
2013,12,18,6.51,5.25,97.91,12.02,2.78,14.79,3.58
2013,12,19,7.45,5.98,97.05,5.04,6,11.04,9.32
2013,12,20,5.21,3.97,98.06,11.1,0.33,11.44,7.98
2013,12,21,3.55,3.6,98.72,13.57,-1.78,11.79,4.52
2013,12,22,3.94,4.39,98.47,13.66,-0.39,13.27,2.98
2013,12,23,6.13,4.76,97.91,12.91,2.83,15.73,3.51
2013,12,24,5.75,5.43,96.51,8.32,2.71,11.02,4.53
2013,12,25,7.46,5.43,95.41,9.11,4.18,13.29,5.05
2013,12,26,4.72,3.85,96.53,7.61,2.33,9.94,6.89
2013,12,27,8.3,5.86,96.77,13.02,3.92,16.94,5.28
2013,12,28,6.12,4.94,96.9,10.52,2.06,12.58,5.96
2013,12,29,2.71,3.78,98.19,9.6,-0.31,9.3,5.23
2013,12,30,3.64,3.23,98.18,13.67,-1.21,12.46,3.02
2013,12,31,4.26,4.03,97.54,13.51,-0.36,13.15,2.92
2014,1,1,6.44,5.43,97.18,10.86,2.41,13.27,1.62
2014,1,2,10.03,6.71,96.83,9.21,7.17,16.38,3.95
2014,1,3,11,7.32,97.15,8.69,8.65,17.34,6.18
2014,1,4,8.79,5.31,96.66,9.32,5.4,14.72,11.99
2014,1,5,6.44,4.76,97.36,12.45,1.53,13.97,4.54
2014,1,6,7.15,5.31,97.36,12.86,3.58,16.44,3.33
2014,1,7,7.74,5.13,97.57,12.17,4.9,17.08,2.81
2014,1,8,6.71,4.58,97.8,9.04,6.68,15.72,3.16
2014,1,9,5.04,4.39,97.67,6.52,5.66,12.19,1.54
2014,1,10,5.09,5.07,97.34,6.91,4.5,11.41,4.23
2014,1,11,6.23,5.92,97.54,5.56,4.87,10.42,1.41
2014,1,12,7.57,5.31,97.74,11.28,4.69,15.98,3.43
2014,1,13,6.29,4.64,97.41,7.91,3.34,11.26,2.36
2014,1,14,6.01,5.13,96.87,9.72,2.52,12.25,4.95
2014,1,15,6.72,5.86,97.03,9.88,3.63,13.52,4.27
2014,1,16,6.48,5.43,96.44,8.17,3.69,11.87,3
2014,1,17,4.71,4.09,96.05,11.89,0.62,12.52,2.2
2014,1,18,5.14,5.37,95.3,8.38,2.73,11.1,3.29
2014,1,19,4.83,4.33,95.51,9.22,1.02,10.23,6.47
2014,1,20,4.41,4.09,96.75,6.35,2.08,8.43,4.61
2014,1,21,4.69,4.09,97.1,10.48,0.79,11.28,4.21
2014,1,22,7.12,5.19,96.87,7.53,4.67,12.19,7.11
2014,1,23,6.69,5.07,97.78,6.69,4.15,10.85,4.55
2014,1,24,9.4,5.62,97.71,6.61,6.12,12.73,5.99
2014,1,25,11.09,6.96,97.72,6.98,8.15,15.15,6.73
2014,1,26,10.6,6.47,97.56,9.73,7.32,17.05,4.22
2014,1,27,8.07,4.88,96.59,6.39,4.6,10.99,4.52
2014,1,28,6.3,4.21,95.96,9.62,1.61,11.23,3
2014,1,29,5.29,4.33,95.47,7.36,2.77,10.12,3.12
2014,1,30,4.58,4.21,96.19,6.7,1.62,8.32,6.4
